Log_Number	Username	Login_Date	Login_Time
000000001	M.ARNOCO	2023-05-16	15:37:27
000000002	M.ARNOCO	2023-05-30	16:13:19000000003	M.ARNOCO	2023-05-31	08:54:08
000000003	M.ARNOCO	2023-05-31	09:00:06
000000004	M.ARNOCO	2023-05-31	09:00:20
000000005\tM.ARNOCO\t2023-05-31\t09:00:56
000000006 M.ARNOCO 2023-05-31 09:07:31
000000007	M.ARNOCO	2023-05-31	09:11:59
000000008	M.ARNOCO	2023-05-31	09:12:44
000000009	M.ARNOCO	2023-05-31	09:13:23
000000010	M.ARNOCO	2023-05-31	09:18:03
000000011	M.ARNOCO	2023-05-31	09:20:44
000000012	M.ARNOCO	2023-05-31	09:22:54
000000013	M.ARNOCO	2023-05-31	09:23:12
000000014	M.ARNOCO	2023-05-31	09:23:47
000000015	M.ARNOCO	2023-05-31	09:24:23
000000016	M.ARNOCO	2023-05-31	09:24:31
000000017	M.ARNOCO	2023-05-31	09:25:45
000000018	M.ARNOCO	2023-05-31	09:26:31
000000019	M.ARNOCO	2023-05-31	09:26:50
000000020	M.ARNOCO	2023-05-31	09:27:21
000000021	M.ARNOCO	2023-05-31	09:27:39
000000022	M.ARNOCO	2023-05-31	09:28:38
000000023	M.ARNOCO	2023-05-31	09:28:55
000000024	M.ARNOCO	2023-05-31	09:32:41
000000025	M.ARNOCO	2023-05-31	09:33:04
000000026	M.ARNOCO	2023-05-31	09:35:08
000000027	M.ARNOCO	2023-05-31	09:35:32
000000028	M.ARNOCO	2023-05-31	09:37:12
000000029	M.ARNOCO	2023-05-31	09:37:23
000000030	M.ARNOCO	2023-05-31	09:37:46
000000031	M.ARNOCO	2023-05-31	09:39:20
000000031	M.ARNOCO	2023-05-31	09:39:20
000000033	M.ARNOCO	2023-05-31	09:41:16
000000034	M.ARNOCO	2023-05-31	09:42:50
000000035	M.ARNOCO	2023-05-31	09:43:36
000000036	M.ARNOCO	2023-05-31	09:44:44
000000037	M.ARNOCO	2023-05-31	09:44:56
000000038	M.ARNOCO	2023-05-31	09:45:02
000000039	M.ARNOCO	2023-05-31	09:46:04
000000040	M.ARNOCO	2023-05-31	09:49:21
000000041	M.ARNOCO	2023-05-31	09:52:34
000000042	M.ARNOCO	2023-05-31	09:52:35
000000043	M.ARNOCO	2023-05-31	10:03:02
000000044	M.ARNOCO	2023-06-01	09:59:04
000000045	M.ARNOCO	2023-06-02	09:25:06
000000046	M.ARNOCO	2023-06-20	09:39:44
000000047	M.ARNOCO	2023-06-20	09:40:02
000000048	M.ARNOCO	2023-06-20	09:42:18
000000049	M.ARNOCO	2023-06-20	09:42:36
000000050	M.ARNOCO	2023-06-20	09:44:24
000000051	M.ARNOCO	2023-06-20	09:45:01
000000052	M.ARNOCO	2023-06-20	09:48:01
000000053	M.ARNOCO	2023-06-20	09:50:09
000000054	M.ARNOCO	2023-06-20	09:51:19
000000055	M.ARNOCO	2023-06-20	09:51:33
000000056	M.ARNOCO	2023-06-20	09:52:15
000000057	M.ARNOCO	2023-06-20	09:53:09
000000058	M.ARNOCO	2023-06-20	09:53:48
000000058	M.ARNOCO	2023-06-20	09:53:48
000000060	M.ARNOCO	2023-06-20	09:54:38
000000060	M.ARNOCO	2023-06-20	09:54:38
000000062	M.ARNOCO	2023-06-20	09:55:54
000000063	M.ARNOCO	2023-06-20	09:56:04
000000064	M.ARNOCO	2023-06-20	09:59:43
000000065	M.ARNOCO	2023-06-20	09:59:49
000000066	M.ARNOCO	2023-06-20	10:01:27
000000067	M.ARNOCO	2023-06-21	14:14:32
000000068	M.ARNOCO	2023-06-21	14:15:07
